Run,callGasLimit,verificationGasLimit,preVerificationGas,maxFeePerGas,maxPriorityFeePerGas,Fitness
1,20031.0,20002.0,21021.0,1.0143511354386512,1.0141996288926949,0.0010427166831195299
2,20034.0,20032.0,21016.0,1.0172567962362518,1.0171085156958306,0.0010428959035331733
3,20013.0,20040.0,21150.0,1.0049783774310954,1.0028485318321723,0.0010426784462370553
4,20007.0,20026.0,21012.0,1.0607805299932158,1.0602416119162636,0.0010446638568803327
5,20014.0,20004.0,21012.0,1.044162727470597,1.0380816318178638,0.0010440936536584731
6,20125.0,20051.0,21103.0,1.1302534497779433,1.1276763573919226,0.0010481753429860687
7,20064.0,20002.0,21070.0,1.010911442547349,0.9865688944942218,0.001043435871806367
8,20015.0,20009.0,21054.0,1.0092326983009472,1.00899400186285,0.0010425521172079575
9,20013.0,20004.0,21131.0,1.0190187282858436,1.0155157935820958,0.0010432014828036505
10,20099.0,20004.0,21036.0,1.016014092797171,1.012780760411158,0.0010430483610212715
11,20056.0,20016.0,21000.0,1.0464071323052537,1.046303247467031,0.0010441027873644728
12,20059.0,20011.0,21061.0,1.0428565341039089,1.0416650987099354,0.0010441075983926881
13,20018.0,20003.0,21100.0,1.0041251460088132,1.0002493717595033,0.0010425281829022502
14,20054.0,20036.0,21057.0,1.0139960622557562,1.0081799342036948,0.0010430537621997312
15,20001.0,20003.0,21018.0,1.028072315921053,1.0278889729423193,0.0010432295853634226
16,20110.0,20017.0,21153.0,1.009780700262413,1.0097450098119427,0.0010429772916329058
17,20019.0,20005.0,21123.0,1.0251264724212237,1.022359871121324,0.0010434365237718892
18,20014.0,20018.0,21029.0,1.0515933482899535,1.0515073046048602,0.0010442977050348725
19,20026.0,20000.0,21034.0,1.0276608591871699,1.0248332551368584,0.0010433669062501797
20,20026.0,20002.0,21040.0,1.0179010759800424,1.0120917215970389,0.0010430583559785042
