Bundle Size,Run,callGasLimit,verificationGasLimit,preVerificationGas,maxFeePerGas,maxPriorityFeePerGas,Fitness
5,1,20095.0,20013.0,21106.0,1.0655291254701251,1.06283454307298,0.005226429179921653
5,2,20007.0,20007.0,21071.0,1.0092845012578633,1.0092635485391235,0.005212810666329532
5,3,20000.0,20011.0,21018.0,1.037167409341655,1.0356062217955802,0.005218332080332444
5,4,20026.0,20017.0,21012.0,1.1154027326531275,1.1133782089113304,0.005235141044558647
5,5,20014.0,20005.0,21004.0,1.2248997271441366,1.2248900320081104,0.005257512074317295
5,6,20038.0,20002.0,21010.0,1.1302534497779433,1.1296982632566468,0.005237998714427215
5,7,20005.0,20125.0,21068.0,1.0028325001813765,1.0021926253957498,0.005212672581756326
5,8,20003.0,20003.0,21088.0,1.0057047512638948,1.0053448635197608,0.005212195374807266
5,9,20001.0,20017.0,21024.0,1.0067168128105517,1.005389275601346,0.005212025565864116
5,10,20004.0,20041.0,21040.0,1.0802245925086973,1.0775667720748399,0.005228149609719684
5,11,20043.0,20054.0,21011.0,1.0230460112191544,1.022249690454578,0.00521605958854579
5,12,20015.0,20003.0,21002.0,1.0692235207085266,1.069113854190075,0.005224766674731456
5,13,20003.0,20003.0,21008.0,1.0041251460088132,1.000352106468086,0.0052115536848029295
5,14,20011.0,20003.0,21028.0,1.0104310449029796,1.0103072521411707,0.005212632824422467
5,15,20050.0,20002.0,21069.0,1.062713438241334,1.062500954501394,0.00522448638688058
5,16,20031.0,20000.0,21025.0,1.0601917786348452,1.0601864378654726,0.005223234753825497
5,17,20043.0,20005.0,21001.0,1.0251264724212237,1.024034140295153,0.005215936991716854
5,18,20150.0,20000.0,21162.0,1.0779827761287661,1.0740890979492868,0.005230298198446628
5,19,20070.0,20035.0,21003.0,1.0780100829633108,1.0747417503088743,0.005228018511647155
5,20,20011.0,20016.0,21012.0,1.0100176266988892,1.009370773887696,0.005212591276002505
10,1,20095.0,20013.0,21106.0,1.0655291254701251,1.06283454307298,0.010452858359843307
10,2,20007.0,20007.0,21071.0,1.0092845012578633,1.0092635485391235,0.010425621332659065
10,3,20000.0,20011.0,21018.0,1.037167409341655,1.0356062217955802,0.010436664160664888
10,4,20026.0,20017.0,21012.0,1.1154027326531275,1.1133782089113304,0.010470282089117294
10,5,20014.0,20005.0,21004.0,1.2248997271441366,1.2248900320081104,0.01051502414863459
10,6,20038.0,20002.0,21010.0,1.1302534497779433,1.1296982632566468,0.01047599742885443
10,7,20005.0,20125.0,21068.0,1.0028325001813765,1.0021926253957498,0.010425345163512652
10,8,20003.0,20003.0,21088.0,1.0057047512638948,1.0053448635197608,0.010424390749614532
10,9,20001.0,20017.0,21024.0,1.0067168128105517,1.005389275601346,0.010424051131728233
10,10,20004.0,20041.0,21040.0,1.0802245925086973,1.0775667720748399,0.010456299219439368
10,11,20043.0,20054.0,21011.0,1.0230460112191544,1.022249690454578,0.01043211917709158
10,12,20015.0,20003.0,21002.0,1.0692235207085266,1.069113854190075,0.010449533349462912
10,13,20003.0,20003.0,21008.0,1.0041251460088132,1.000352106468086,0.010423107369605859
10,14,20011.0,20003.0,21028.0,1.0104310449029796,1.0103072521411707,0.010425265648844934
10,15,20050.0,20002.0,21069.0,1.062713438241334,1.062500954501394,0.01044897277376116
10,16,20031.0,20000.0,21025.0,1.0601917786348452,1.0601864378654726,0.010446469507650994
10,17,20043.0,20005.0,21001.0,1.0251264724212237,1.024034140295153,0.010431873983433707
10,18,20150.0,20000.0,21162.0,1.0779827761287661,1.0740890979492868,0.010460596396893255
10,19,20070.0,20035.0,21003.0,1.0780100829633108,1.0747417503088743,0.01045603702329431
10,20,20011.0,20016.0,21012.0,1.0100176266988892,1.009370773887696,0.01042518255200501
100,1,20095.0,20013.0,21106.0,1.0655291254701251,1.06283454307298,0.10452858359843306
100,2,20007.0,20007.0,21071.0,1.0092845012578633,1.0092635485391235,0.10425621332659064
100,3,20000.0,20011.0,21018.0,1.037167409341655,1.0356062217955802,0.10436664160664887
100,4,20026.0,20017.0,21012.0,1.1154027326531275,1.1133782089113304,0.10470282089117296
100,5,20014.0,20005.0,21004.0,1.2248997271441366,1.2248900320081104,0.1051502414863459
100,6,20038.0,20002.0,21010.0,1.1302534497779433,1.1296982632566468,0.10475997428854428
100,7,20005.0,20125.0,21068.0,1.0028325001813765,1.0021926253957498,0.10425345163512652
100,8,20003.0,20003.0,21088.0,1.0057047512638948,1.0053448635197608,0.10424390749614532
100,9,20001.0,20017.0,21024.0,1.0067168128105517,1.005389275601346,0.10424051131728233
100,10,20004.0,20041.0,21040.0,1.0802245925086973,1.0775667720748399,0.10456299219439368
100,11,20043.0,20054.0,21011.0,1.0230460112191544,1.022249690454578,0.1043211917709158
100,12,20015.0,20003.0,21002.0,1.0692235207085266,1.069113854190075,0.10449533349462911
100,13,20003.0,20003.0,21008.0,1.0041251460088132,1.000352106468086,0.10423107369605858
100,14,20011.0,20003.0,21028.0,1.0104310449029796,1.0103072521411707,0.10425265648844934
100,15,20017.0,20017.0,21061.0,1.0614208613976899,1.0580974789702056,0.1044877408511435
100,16,20031.0,20000.0,21025.0,1.0601917786348452,1.0601864378654726,0.10446469507650992
100,17,20043.0,20005.0,21001.0,1.0251264724212237,1.024034140295153,0.10431873983433705
100,18,20150.0,20000.0,21162.0,1.0779827761287661,1.0740890979492868,0.10460596396893254
100,19,20070.0,20035.0,21003.0,1.0780100829633108,1.0747417503088743,0.10456037023294311
100,20,20011.0,20016.0,21012.0,1.0100176266988892,1.009370773887696,0.10425182552005008
1000,1,20095.0,20013.0,21106.0,1.0655291254701251,1.06283454307298,1.0452858359843307
